trade_id,timestamp,resting_order_id,aggressor_order_id,aggressor_side,price,quantity,strategy_name,position_after,cash_after,equity_after
153,1700000204,1088,1000158,BID,100.100000,2,MovingAverageCrossStrategy,10,999030.360000,1000031.360000
154,1700000206,1159,1000159,ASK,100.420000,1,MovingAverageCrossStrategy,9,999130.780000,1000034.470000
155,1700000206,1155,1000159,ASK,100.410000,1,MovingAverageCrossStrategy,8,999231.190000,1000034.470000
156,1700000207,1108,1000160,BID,100.110000,2,MovingAverageCrossStrategy,10,999030.970000,1000032.070000
157,1700000208,1155,1000161,ASK,100.410000,2,MovingAverageCrossStrategy,8,999231.790000,1000035.070000
158,1700000209,1108,1000162,BID,100.110000,2,MovingAverageCrossStrategy,10,999031.570000,1000032.670000
159,1700000211,1155,1000163,ASK,100.410000,1,MovingAverageCrossStrategy,9,999131.980000,1000035.220000
160,1700000211,1161,1000163,ASK,100.360000,1,MovingAverageCrossStrategy,8,999232.340000,1000035.220000
161,1700000212,1172,1000164,BID,100.080000,2,MovingAverageCrossStrategy,10,999032.180000,1000032.980000
162,1700000213,1161,1000165,ASK,100.360000,2,MovingAverageCrossStrategy,8,999232.900000,1000035.780000
163,1700000214,1174,1000166,BID,100.020000,2,MovingAverageCrossStrategy,10,999032.860000,1000033.060000
164,1700000216,1161,1000167,ASK,100.360000,2,MovingAverageCrossStrategy,8,999233.580000,1000036.460000
165,1700000217,1174,1000168,BID,100.020000,2,MovingAverageCrossStrategy,10,999033.540000,1000033.740000
166,1700000218,1161,1000169,ASK,100.360000,2,MovingAverageCrossStrategy,8,999234.260000,1000037.140000
167,1700000219,1174,1000170,BID,100.020000,2,MovingAverageCrossStrategy,10,999034.220000,1000034.420000
168,1700000221,1153,1000171,ASK,100.350000,2,MovingAverageCrossStrategy,8,999234.920000,1000037.720000
169,1700000222,1174,1000172,BID,100.020000,2,MovingAverageCrossStrategy,10,999034.880000,1000035.080000
170,1700000223,1153,1000173,ASK,100.350000,2,MovingAverageCrossStrategy,8,999235.580000,1000038.380000
171,1700000224,1174,1000174,BID,100.020000,2,MovingAverageCrossStrategy,10,999035.540000,1000035.740000
172,1700000226,1183,1000175,ASK,100.400000,2,MovingAverageCrossStrategy,8,999236.340000,1000039.540000
173,1700000227,1172,1000176,BID,100.080000,2,MovingAverageCrossStrategy,10,999036.180000,1000036.980000
174,1700000228,1185,1000177,ASK,100.480000,2,MovingAverageCrossStrategy,8,999237.140000,1000040.980000
175,1700000229,1172,1000178,BID,100.080000,2,MovingAverageCrossStrategy,10,999036.980000,1000037.780000
176,1700000233,1185,1000181,ASK,100.480000,2,MovingAverageCrossStrategy,8,999237.940000,1000041.780000
177,1700000234,1185,1000182,ASK,100.480000,1,MovingAverageCrossStrategy,7,999338.420000,1000041.430000
178,1700000234,1187,1000182,ASK,100.430000,1,MovingAverageCrossStrategy,6,999438.850000,1000041.430000
179,1700000236,1172,1000183,BID,100.080000,2,MovingAverageCrossStrategy,8,999238.690000,1000039.330000
180,1700000237,1172,1000184,BID,100.080000,1,MovingAverageCrossStrategy,9,999138.610000,1000039.510000
181,1700000237,1176,1000184,BID,100.100000,1,MovingAverageCrossStrategy,10,999038.510000,1000039.510000
182,1700000239,1187,1000186,ASK,100.430000,2,MovingAverageCrossStrategy,8,999239.370000,1000042.810000
183,1700000241,1187,1000187,ASK,100.430000,2,MovingAverageCrossStrategy,6,999440.230000,1000042.810000
184,1700000242,1176,1000188,BID,100.100000,2,MovingAverageCrossStrategy,8,999240.030000,1000040.830000
185,1700000243,1176,1000189,BID,100.100000,2,MovingAverageCrossStrategy,10,999039.830000,1000040.830000
186,1700000246,1187,1000191,ASK,100.430000,1,MovingAverageCrossStrategy,9,999140.260000,1000043.860000
187,1700000246,1183,1000191,ASK,100.400000,1,MovingAverageCrossStrategy,8,999240.660000,1000043.860000
188,1700000247,1183,1000192,ASK,100.400000,2,MovingAverageCrossStrategy,6,999441.460000,1000043.860000
